Date,Forecasted_Sales
2011-12-10,115317.96921850496
2011-12-11,95665.69570540887
2011-12-12,85812.25138725436
2011-12-13,102581.66888583013
2011-12-14,85501.86255476277
2011-12-15,130916.76380921956
2011-12-16,122169.40366630068
2011-12-17,108676.50432585114
2011-12-18,96570.28612383659
2011-12-19,107142.711605973
2011-12-20,98685.04809430234
2011-12-21,110360.87117851096
2011-12-22,113818.57750536683
2011-12-23,111696.43846800229
2011-12-24,103450.08693606552
2011-12-25,106876.30328427866
2011-12-26,104800.68993296007
2011-12-27,106982.3771666808
2011-12-28,108859.34167410442
2011-12-29,110187.8855284747
2011-12-30,106706.67153917083
2011-12-31,106951.33700478546
2012-01-01,106621.58410293366
2012-01-02,107090.67444170425
2012-01-03,107430.21931073403
2012-01-04,108556.79358014802
2012-01-05,107618.3855781734
2012-01-06,107284.25838255734
2012-01-07,107122.78123980178
2012-01-08,107338.27051906624
