,Actual,Forecast,Error,Absolute_Error,Percentage_Error
2011-09-26,29335.171,69807.86863607386,-40472.69763607386,40472.69763607386,137.96646229222208
2011-09-27,36322.95,55951.060175682636,-19628.11017568264,19628.11017568264,54.0377644868675
2011-09-28,43749.06,49470.699324713816,-5721.6393247138185,5721.6393247138185,13.078313739115352
2011-09-29,46401.45,45758.21827813672,643.2317218632743,643.2317218632743,1.3862319428881518
2011-09-30,44357.06,29658.64319661317,14698.416803386826,14698.416803386826,33.136589312697524
2011-10-01,0.0,32410.295977736052,-32410.295977736052,32410.295977736052,inf
2011-10-02,11634.53,50578.322879420215,-38943.792879420216,38943.792879420216,334.7259655475573
2011-10-03,66376.82,52200.63435464398,14176.185645356025,14176.185645356025,21.357132874633077
2011-10-04,48810.65,47690.237358965445,1120.4126410345561,1120.4126410345561,2.295426594471813
2011-10-05,75593.63,45552.28658334174,30041.343416658267,30041.343416658267,39.74057525304482
2011-10-06,62891.19,39937.80425225473,22953.38574774527,22953.38574774527,36.49698113161043
2011-10-07,53790.7,37908.31369732148,15882.386302678518,15882.386302678518,29.52626811452262
2011-10-08,0.0,44345.33055611358,-44345.33055611358,44345.33055611358,inf
2011-10-09,12524.4,47856.47793000902,-35332.07793000902,35332.07793000902,282.1059526205568
2011-10-10,48239.18,46608.827569676505,1630.3524303234954,1630.3524303234954,3.3797266668369885
2011-10-11,52572.94,45169.35815099351,7403.581849006492,7403.581849006492,14.082495384520044
2011-10-12,32159.28,43111.78505777666,-10952.50505777666,10952.50505777666,34.057059292921544
2011-10-13,37446.18,41460.71703941484,-4014.5370394148413,4014.5370394148413,10.7208186239954
2011-10-14,36347.64,43210.120205041574,-6862.480205041575,6862.480205041575,18.880125931261492
2011-10-15,0.0,45413.34180998997,-45413.34180998997,45413.34180998997,inf
2011-10-16,22010.96,45577.85343833169,-23566.89343833169,23566.89343833169,107.06890312068029
2011-10-17,52062.2,44887.09689071581,7175.103109284188,7175.103109284188,13.781790068964023
2011-10-18,45332.16,44026.35523466761,1305.8047653323956,1305.8047653323956,2.8805262430301037
